Document,Primary Introducer,Status,Description,Document ID
LB735,Fulton,Indefinitely postponed,Rename the Sexual Predator Residency Restriction Act and provide for certain employment restrictions,3719
LB736,Fulton,Passed,Provide for ignition interlock permits and change provisions relating to other driving permits and penalties for driving under the influence,3626
LB736A,Fulton,Passed,Appropriations bill,5414
LB737,Fulton,Indefinitely postponed,Provide income tax credits for returns filed claiming dependents eligible for assistance,3375
LB738,Fulton,Indefinitely postponed,Change brain injury registry notification and reporting requirements,3485
LB739,Fulton,Indefinitely postponed,Provide for the waiver of a fine or penalty for an information collection requirement for small businesses,3320
LB740,Fulton,Withdrawn,Change provisions relating to authorized emergency vehicles,3714
LB741,Fulton,Indefinitely postponed,Change distribution of motor vehicle tax proceeds,3699
LB742,Johnson,Indefinitely postponed,Change licensure provisions relating to engineers,3655
LB743,Christensen,Indefinitely postponed,Eliminate restrictions on trapping wildlife in county road rights-of-way,3419
LB744,Aguilar,Passed,Permit leasing of state property to the federal government or political subdivisions,3496
LB745,Aguilar,Passed,Change exemption provisions relating to the State Personnel System,3355
LB746,Aguilar,Passed,Change provisions relating to tuition credits for National Guard members,3444
LB747,Aguilar,Passed,Change provisions relating to energy financing contracts,3654
LB748,Rogert,Indefinitely postponed,Adopt the Interior Designers Certification Act,3609
LB749,Stuthman,Indefinitely postponed,Provide for electronic application submission and a civil penalty for manufactured homes,3344
LB750,Aguilar,Passed,Designate the Secretary of State's Office as a voter registration agency,3414
LB751,Christensen,Indefinitely postponed,Change noxious weed funding provisions relating to stream vegetation removal,3420
LB752,Flood,Passed,Change membership provisions of the Nebraska Capitol Commission,3516
LB753,Synowiecki,Indefinitely postponed,Provide for nurse practitioners to practice without integrated practice agreements,3865
LB754,Synowiecki,Passed,Change provisions of the Convention Center Facility Financing Assistance Act,3634
LB755,Transportation and Telecommunications Committee,Passed,Change Public Service Commission  powers and duties,3606
LB756,Transportation and Telecommunications Committee,Passed,"Change provisions relating to motor vehicle operation, titling, and registration and motorboat titling",3367
LB757,Hudkins,Indefinitely postponed,Adopt the Volunteer Emergency Responders Incentive Act,3672
LB758,Hudkins,Indefinitely postponed,Increase motor fuel taxes and allocate and reallocate revenue,3737
LB759,Hudkins,Indefinitely postponed,Change provisions relating to relabeling and redispensing prescription drugs,3436
LB760,Gay,Indefinitely postponed,Create the Nebraska State Library Task Force,3848
LB761,Avery,Indefinitely postponed,Create the BRAC Task Force to examine issues relating to the military base realignment and closure process,3528
LB761A,Avery,Indefinitely postponed,Appropriations bill,4395
LB762,Avery,Indefinitely postponed,Create a sales tax holiday for school-related purchases,3312
LB763,Avery,Indefinitely postponed,Create the Nebraska State Capitol Environs District Revitalization Task Force,3529
LB764,Cornett,Passed,Prohibit certain treatment of bovines and equines,3506
LB765,Gay,Passed,Change provisions relating to certificates of need,3478
LB766,Cornett,Passed,Regulate scrap metal recycling,3885
LB767,Cornett,Indefinitely postponed,Authorize leave for members of the Civil Air Patrol,3513
LB768,Cornett,Passed,Provide sanitary and improvement districts with the power to contract for library services,3431
LB769,Cornett,Indefinitely postponed,Change provisions relating to offenses against animals,3326
LB770,Cornett,Indefinitely postponed,Exclude military retirement benefits from taxation,3371
LB771,Gay,Indefinitely postponed,Provide funding for expressways and transfer money from the Cash Reserve Fund,3749
LB772,Hudkins,Indefinitely postponed,Provide for state payment for county and district court courtroom security,3434
LB773,Hudkins,Indefinitely postponed,Change unclassified county service position provisions relating to bailiffs,3435
LB774,Wightman,Indefinitely postponed,Change provisions relating to filing for modification of child support orders,3522
LB775,Wightman,Passed,Change deputy court clerks provisions,3399
LB776,Wightman,Indefinitely postponed,Change fees received by registers of deeds,3400
LB777,Hudkins,Passed,Redefine agricultural land and horticultural land for property tax purposes,3862
LB778,Pirsch,Indefinitely postponed,Change property tax assessment and equalization provisions,3627
LB779,Pirsch,Indefinitely postponed,Change requirements for filing certain statements with the Director of Insurance under the Multiple Employer Welfare Arrangement Act ,3591
LB780,Pirsch,Indefinitely postponed,Change provisions relating to the duty to stop after an accident,3631
LB781,Rogert,Passed,Change the Uniform Deceptive Trade Practices Act,3509
LB782,Howard,Passed,Allow disclosure of child abuse and neglect information ,3426
LB783,Howard,Indefinitely postponed,Provide an income tax credit for adoption expenses as prescribed,3353
LB784,Howard,Indefinitely postponed,Prohibit immigration law violators from receiving incentives under the Nebraska Advantage Act,3354
LB784A,Howard,Indefinitely postponed,Appropriations bill,5088
LB785,Howard,Indefinitely postponed,Require seller of residential real estate to provide purchaser with information regarding sex offender registration,3395
LB786,Howard,Indefinitely postponed,Regulate traffic approaching or passing a stopped authorized emergency vehicle,3512
LB787,Gay,Indefinitely postponed,Create degrees of offenses of assault on an emergency services provider or a health care provider,3383
LB788,Erdman,Indefinitely postponed,Adopt the Anthrax Control Act,3393
LB789,Erdman,Passed,Change grant provisions under the Agricultural Opportunities and Value-Added Partnerships Act,3376
LB790,Erdman,Passed,Change buffer strip reimbursement provisions,3351
LB791,Erdman,Passed,Provide for rules for certified seed potatoes,3350
LB792,Karpisek,Indefinitely postponed,Change provisions governing insurance producers,3643
LB793,Burling,Indefinitely postponed,Change which county pays for costs of emergency protective custody and proceedings,3650
LB794,McGill,Indefinitely postponed,Change provisions relating to the criminal responsibility of intoxicated persons and the insanity defense,3476
LB795,Stuthman,Indefinitely postponed,Provide appropriations for community health centers,3618
LB796,Johnson,Indefinitely postponed,Change medical radiography and radiation control provisions ,3345
LB797,Health and Human Services Committee,Passed,Change provisions relating to health and human services,3338
LB798,Louden,Passed,"Change provisions relating to irrigation water reuse pits, transfer of water appropriations, and intentional underground water storage permits",3612
LB799,Louden,Indefinitely postponed,Change provisions relating to applications to permit transfer of water appropriations,3572
LB800,Louden,Indefinitely postponed,Change intentional underground water storage permit provisions,3573
LB801,Louden,Indefinitely postponed,Add a requirement for integrated management plans,3571
LB802,Louden,Indefinitely postponed,Provide for water diversion during times of flooding,3570
LB803,Aguilar,Indefinitely postponed,Provide for election-day voter registration for statewide general elections,3850
LB804,Burling,Indefinitely postponed,Permit jurors to take notes,3559
LB805,Wallman,Passed,Change membership of the Propane Education and Research Council,3429
LB806,Wallman,Passed,"Change provisions relating to dog guides, hearing aid dogs, and service dogs",3543
LB807,Aguilar,Indefinitely postponed,Require medicaid coverage of tobacco-cessation products and services,3661
LB808,Synowiecki,Indefinitely postponed,Change penalty provisions relating to motor vehicle homicide,3680
LB809,Synowiecki,Indefinitely postponed,Change provisions relating to metabolic screening,3515
LB810,Kruse,Indefinitely postponed,Adopt the Alcoholic Liquor Liability Act,3561
LB811,Kruse,Indefinitely postponed,State intent to appropriate five million dollars to the public transportation assistance program under the Nebraska Public Transportation Act,3415
LB812,Kruse,Indefinitely postponed,Provide for primary enforcement of occupant protection system laws,3558
LB813,McGill,Indefinitely postponed,Authorize urban growth districts  and bonds,3683
LB814,Raikes,Indefinitely postponed,Change delinquent property tax notification and collection provisions,3318
LB815,Fischer,Indefinitely postponed,Allow Geographic Information System data to be withheld from the public   ,3605
LB816,Avery,Indefinitely postponed,Change the number of district court judges,3601
LB817,Avery,Indefinitely postponed,Require certain constitutional officers to devote their full time to their offices,3342
LB818,Avery,Indefinitely postponed,Change eligibility provisions for medical assistance,3804
LB819,Business and Labor Committee,Governor Veto,Change provisions of the Employment Security Law and the Nebraska Workers' Compensation Act,3382
LB820,Business and Labor Committee,Indefinitely postponed,Change wage and hour and amusement ride provisions,3380
LB821,Business and Labor Committee,Passed,Change provisions relating to claims against the state and the Risk Manager,3495
LB822,Legislative Performance Audit Committee,Passed,Change provisions relating to audits by the Legislative Performance Audit Committee and the Auditor of Public Accounts,3449
LB823,Legislative Performance Audit Committee,Passed,Change and eliminate provisions relating to governmental information technology ,3808
LB824,Schimek,Indefinitely postponed,"Provide a gender balance requirement for state boards, commissions, committees, and councils",3410
LB825,Schimek,Indefinitely postponed,Require insurance coverage for cochlear implants as prescribed,3764
LB826,Christensen,Indefinitely postponed,Change the Concealed Handgun Permit Act to provide a residency exception for members of the armed forces,3726
LB827,Fischer,Indefinitely postponed,Change the retention period for motor vehicle registration records,3468
LB828,Ashford,Indefinitely postponed,Change provisions that limit jurisdiction to Lancaster County District Court,3702
LB829,Fischer,Indefinitely postponed,Provide powers and duties to the Public Service Commission regarding telecommunications rates,3603
LB830,Lathrop,Passed,Adopt the Medicaid Prescription Drug Act,3461
LB830A,Lathrop,Passed,Appropriations bill,5725
LB831,Lathrop,Indefinitely postponed,Change provisions relating to security freezes on consumer credit information,3637
LB832,Lathrop,Indefinitely postponed,Adopt the Uniform Foreign-Country Money Judgments Recognition Act,3682
LB833,Lathrop,Indefinitely postponed,Change unemployment compensation benefits,3579
LB834,Fischer,Indefinitely postponed,Change procedures for notation of liens on certificates of title,3480
LB835,Preister,Indefinitely postponed,Prohibit transfer of certain lead-containing items,3442
LB836,Howard,Indefinitely postponed,Prohibit smoking in a vehicle when minors are present,3622
LB837,Karpisek,Passed,Change provisions relating to railroad crossings,3744
LB838,Karpisek,Passed,Change procedures relating to elections,3481
LB839,Pedersen,Indefinitely postponed,Change provisions relating to fireworks,3423
LB840,McDonald,Indefinitely postponed,Regulate Salvia divinorum and Salvinorin A under the Uniform Controlled Substances Act,3801
LB841,Fischer,Indefinitely postponed,Change motor vehicle certificate of title provisions,3501
LB842,Karpisek,Indefinitely postponed,Appropriate funds to the Department of Health and Human Services for developmental disability aid,3890
LB843,Pedersen,Indefinitely postponed,Change sentencing requirements with respect to certain minors,3667
LB844,Karpisek,Passed,Change penalty provisions for marijuana possession,3700
LB845,Fischer,Passed,Create a penalty for motor carrier out-of-service order violations and authorize administrative fines,3412
LB846,Fischer,Passed,Change motor fuel taxes,3581
LB846A,Fischer,Indefinitely postponed,Appropriations bill,4693
LB847,Erdman,Indefinitely postponed,Provide for notice of appointment of a personal representative to the Department of Health and Human Services,3337
LB847A,Erdman,Indefinitely postponed,Appropriations bill,5773
LB848,Erdman,Passed,Change and eliminate provisions of the Nebraska Limited Cooperative Association Act,3502
LB849,Erdman,Indefinitely postponed,Eliminate the authority of school districts to provide certain insurance coverage for board members,3595
LB850,Erdman,Passed,"Change insurance coverage provisions for members of school boards, boards of education, learning community coordinating councils, and boards of educational service units",3596
LB851,"Banking, Commerce and Insurance Committee",Passed,Change provisions relating to banking and finance,3455
LB852,"Banking, Commerce and Insurance Committee",Indefinitely postponed,Change provisions relating to certain financial services,3456
LB853,"Banking, Commerce and Insurance Committee",Passed,Change provisions of the Viatical Settlements Act,3363
LB854,"Banking, Commerce and Insurance Committee",Indefinitely postponed,Adopt the Discount Medical Plan Organization Act,3508
LB855,"Banking, Commerce and Insurance Committee",Passed,Change provisions relating to insurance ,3517
LB856,Lautenbaugh,Passed,Provide for special congressional elections in case of multiple vacancies,3645
LB857,Lautenbaugh,Passed,Change certification provisions for candidates for President and Vice President,3646
LB858,Engel,Indefinitely postponed,Change applicability provisions regarding recall petitions,3649
LB859,Pankonin,Indefinitely postponed,Appropriate funds to the Department of Economic Development for the Nebraska Lied Main Street Program,3776
LB860,Burling,Indefinitely postponed,Remove fingerprinting requirement for license for grain dealer or grain warehouse,3911
LB861,Agriculture Committee,Indefinitely postponed,Change state fair provisions,3658
LB862,Agriculture Committee,Indefinitely postponed,Change noxious weeds funding provisions,3460
LB863,Langemeier,Indefinitely postponed,Change income tax calculations,3928
LB864,Langemeier,Indefinitely postponed,Change the standard of review for the Tax Equalization and Review Commission,3656
LB865,Hudkins,Passed,Allow trapping of raptors within the county road right-of-way,3623
LB866,McDonald,Indefinitely postponed,Adopt the Chronic Disease Drug Repository Program Act,3794
LB867,Adams,Indefinitely postponed,Provide that vehicles removed from private property under a municipal ordinance are abandoned,3660
LB868,Nantkes,Indefinitely postponed,Prohibit delayed deposit services,3510
LB869,Nantkes,Indefinitely postponed,Require disclosures relating to contracts for services with the state,3613
LB870,Avery,Indefinitely postponed,Prohibit certain former officeholders from being lobbyists,3428
LB871,Avery,Indefinitely postponed,Rename the Commission on Mexican-Americans,3391
LB872,Pirsch,Indefinitely postponed,Change penalty provisions for motor vehicle homicide and motor vehicle homicide of an unborn child,3900
LB873,Kopplin,Indefinitely postponed,Provide for a student growth adjustment and correction in the Tax Equity and Educational Opportunities Support Act,3830
LB874,Adams,Indefinitely postponed,Allow certain self-propelled specialized mobile equipment to be transported on highways,3947
LB875,Fulton,Indefinitely postponed,Change eligibility requirements under the Beginning Farmer Tax Credit Act,3639
LB876,Pahls,Indefinitely postponed,Change provisions relating to motor vehicle liability policies,3397
LB877,Wightman,Indefinitely postponed,Change public assistance provisions relating to postsecondary education and related work activities,3696
LB878,Engel,Indefinitely postponed,Change provisions relating to recall petitions,3695
LB879,Kopplin,Indefinitely postponed,"Provide for a construction, expansion, and alteration adjustment in the Tax Equity and Educational Opportunities Support Act",3831
LB880,Kopplin,Indefinitely postponed,Provide for watershed enhancement bonds,3827
LB881,Stuthman,Indefinitely postponed,Impose an excise tax on production of ethanol,3748
LB882,Johnson,Indefinitely postponed,Change provisions relating to prescription medication for indigent persons,3334
LB883,Johnson,Indefinitely postponed,"Exempt certain public recreation facilities, centers, and programs from child-care licensure",3742
LB884,Gay,Indefinitely postponed,Change provisions relating to the Director of Personnel and employee health benefits,3767
LB885,Johnson,Indefinitely postponed,Redefine prescription relating to the practice of pharmacy ,3497
LB886,Gay,Indefinitely postponed,Change provisions relating to student transportation,3898
LB887,Burling,Indefinitely postponed,Change the corporate tax rate,3925
LB888,Burling,Passed,Change corporate income tax calculations,3553
LB889,Flood,Passed,Provide construction alternatives for political subdivisions,3877
LB890,Flood,Indefinitely postponed,Exempt postage charges and certain magazine or journal subscriptions from sales and use tax,3923
LB891,Gay,Indefinitely postponed,Provide an income tax credit for certain health-related expenditures,3556
LB892,Pedersen,Indefinitely postponed,Change modular housing and manufactured home provisions relating to the Public Service Commission,3608
LB893,Langemeier,Passed,Change provisions relating to tax deeds and foreclosures,3754
LB894,Gay,Indefinitely postponed,Increase tax deductions allowed under the Long-Term Care Savings Plan,3325
LB895,Janssen,Passed,Change provisions of tax incentive laws,3769
LB896,Janssen,Passed,Update references to the Internal Revenue Code,3583
LB897,Janssen,Indefinitely postponed,Change property tax provisions,3611
LB898,Janssen,Passed,Change provisions of the Unfair Cigarette Sales Act,3741
LB899,Kruse,Indefinitely postponed,Authorize creation of a land reutilization authority by a city of the metropolitan class,3633
LB900,Flood,Indefinitely postponed,Prohibit use of credit information and discriminatory practices in issuing insurance policies and eliminate the Model Act Regarding Use of Credit Information in Personal Insurance,3735
LB901,Johnson,Indefinitely postponed,Provide immunity for emergency management workers as prescribed,3574
LB902,Pankonin,Passed,Change provisions relating to controlled substances schedules and inventory,3747
LB903,Lathrop,Indefinitely postponed,Adopt the Nebraska Elementary Attendance Region Act,3802
LB904,Lautenbaugh,Passed,Change provisions relating to applications for veterans aid,3664
LB905,Avery,Indefinitely postponed,Provide funding for Nebraska educational telecommunications,3733
LB906,Pankonin,Indefinitely postponed,Change provisions relating to laboratories regulated by the Department of Health and Human Services,3686
LB907,Pirsch,Passed,Change provisions relating to corporations and limited liability companies,3935
LB908,Pirsch,Indefinitely postponed,Provide for issuance of certain veterans license plates for multiple vehicles,3952
LB909,Pirsch,Indefinitely postponed,Provide for aggregation of amounts for certain forgery crimes,3632
LB910,Pirsch,Indefinitely postponed,Require that motor vehicle and motorboat titling be performed by county treasurers,3636
LB911,Hudkins,Passed,Change provisions relating to issuance of motor vehicle operator's licenses and state identification cards,3535
LB911A,Hudkins,Passed,Appropriations bill,5634
LB912,Avery,Passed,Redefine terms for purposes of the Convention Center Facility Financing Assistance Act,3464
LB913,Wightman,Indefinitely postponed,Change inheritance tax provisions,3965
LB914,Revenue Committee,Passed,Change provisions relating to taxes and funds,3598
LB915,Revenue Committee,Passed,"Change income tax provisions, tax information disclosure prohibitions, and research tax credits",3440
LB916,Revenue Committee,Passed,Change sales tax provisions,3585
LB917,Fischer,Indefinitely postponed,Provide an exception to vehicle weight limits for idle reduction technology,3722
LB918,Pahls,Indefinitely postponed,Change provisions relating to bank holding company ownership limitations and interstate mergers,3910
LB919,Fischer,Indefinitely postponed,Change the Motor Vehicle Registration Act,3366
LB920,Langemeier,Indefinitely postponed,Authorize insurance producers to charge certain incidental fees,3340
LB921,Dubas,Indefinitely postponed,Adopt the Nebraska Energy Independence Act,3812
LB922,Dubas,Indefinitely postponed,Adopt the Cellulosic Biomass Renewable Energy Initiative and impose and change taxes,3745
LB923,Dubas,Indefinitely postponed,Change provisions relating to energy easements,3532
LB924,Fischer,Indefinitely postponed,Provide for streamflow depletion offsets,3759
LB925,Fischer,Passed,Provide liability for damage by estrays,3893
LB926,Lathrop,Indefinitely postponed,Prohibit mandatory overtime for certain state employees,3628
LB927,Johnson,Indefinitely postponed,Change factors favoring the change of county boundaries,3908
LB928,Johnson,Passed,Change and repeal provisions relating to public health and welfare,3886
LB928A,Johnson,Passed,Appropriations bill,5527
LB929,Chambers,Indefinitely postponed,"Prohibit hunting, trapping, and fishing and provide penalties",3983
LB930,Cornett,Indefinitely postponed,Change provisions relating to dangerous sex offender evaluations,3945
LB931,Cornett,Indefinitely postponed,Change provisions relating to taxation of air carriers,3920
LB932,Ashford,Indefinitely postponed,Create the Aging Prison Population Task Force,3527
LB933,Ashford,Indefinitely postponed,Change clerk magistrate provisions,3526
LB934,Ashford,Indefinitely postponed,Change provisions relating to use of a deadly weapon by a felon,3457
LB935,Ashford,Indefinitely postponed,Change provisions relating to service or delivery of court documents,3470
LB936,Friend,Indefinitely postponed,Provide for a fair share representation contribution by non-labor organization members for representation provided by the labor organization,3372
LB937,Nebraska Retirement Systems Committee,Indefinitely postponed,Change contribution requirements under the County Employees Retirement Act and the State Employees Retirement Act,3564
LB938,Nebraska Retirement Systems Committee,Indefinitely postponed,Change contribution allocation provisions relating to the County Employees Retirement Act and the State Employees Retirement Act,3566
LB939,Heidemann,Passed,Change bidding requirements for certain political subdivisions,3560
LB940,Kruse,Indefinitely postponed,State legislative intent to increase payments for pharmacy dispensing fees under the Medical Assistance Program,3968
LB941,Stuthman,Indefinitely postponed,Provide for use of historical license plates on historical vehicles registered for general purposes,3931
LB942,Pedersen,Indefinitely postponed,Require substantial evidence of parole violation in order to revoke parole,3815
LB943,Pedersen,Indefinitely postponed,Provide for release of driver's license pictures to parole and probation officers,3821
LB944,Synowiecki,Indefinitely postponed,Exempt certain purchases by museums from sales and use taxes,3678
LB945,Pedersen,Indefinitely postponed,Change authority of natural resources districts,3940
LB946,Burling,Indefinitely postponed,Impose an excise tax on ethanol production,3851
LB947,Friend,Passed,Increase minimum bidding amount requirements for cities of the first and second class and villages,3868
LB948,Karpisek,Indefinitely postponed,Adopt the Volunteer Emergency Responders Job Protection Act,3959
LB949,Christensen,Indefinitely postponed,Change a sales tax exemption for health clinics,3916
LB950,Pirsch,Indefinitely postponed,Change penalty provisions for failure to stop at the scene of an accident,3901
LB951,Kopplin,Indefinitely postponed,Provide for umbilical cord blood banking,3971
LB952,Lathrop,Passed,Change state administrative departments investigatory powers and Attorney General and county attorneys investigatory and enforcement powers,3822
LB953,Nelson,Passed,"Change manufactured home and mobile home provisions relating to bankruptcy, certificates of title, and security interests",3756
LB954,Dierks,Indefinitely postponed,Change provisions relating to human immunodeficiency virus testing,3796
LB955,Dierks,Indefinitely postponed,Change provisions under the Nebraska Liquor Control Act relating to manufacturers' interest in wholesalers,3922
LB956,Schimek,Passed,Change provisions relating to job training grants,4020
LB957,Ashford,Indefinitely postponed,Change the Sex Offender Registration Act,3418
LB958,Ashford,Indefinitely postponed,Provide for an examination of firearm-related violence and a hotline to report loss of a firearm and repeal requirements for purchasing handguns,3973
LB958A,Ashford,Indefinitely postponed,Appropriations bill,5263
LB959,Speaker Flood,Veto Overridden,Provide for deficit appropriations,3704
LB960,Speaker Flood,Passed,Appropriate funds for employee pay and benefits,3663
LB961,Speaker Flood,Passed,"Provide for and change transfers  of state funds, provide for a juvenile justice system study, and prohibit pledging certain funds",3915
LB962,Preister,Passed,Change public body meeting provisions of the Open Meetings Act,4019
LB963,Friend,Indefinitely postponed,Require verification of lawful presence in the United States to receive public benefits,3542
LB964,Revenue Committee,Indefinitely postponed,Change provisions relating to the Tax Equalization and Review Commission,3586
LB965,Revenue Committee,Passed,Change property tax provisions,3724
LB966,Synowiecki,Indefinitely postponed,Change provisions relating to the Tobacco Prevention and Control Cash Fund,3525
LB967,Synowiecki,Indefinitely postponed,Change annual audit provisions of the School Employees Retirement Act,3791
LB968,White,Indefinitely postponed,Change service annuity provisions of the School Employees Retirement Act,3875
LB969,Pankonin,Indefinitely postponed,Require insurance coverage for prosthetics as prescribed,3624
LB970,Gay,Indefinitely postponed,Eliminate taxing authority of learning communities and change state aid calculations,3899
LB971,Pedersen,Indefinitely postponed,Require voter approval for actions related to annexation of cities and villages,3820
LB972,Gay,Passed,Change optometry licensure provisions,3993
LB973,Raikes,Passed,Change calculation of state aid to community colleges,3874
LB974,Gay,Indefinitely postponed,Provides an income tax credit for health insurance or care expenses of certain employers,3810
LB975,Wightman,Indefinitely postponed,Change provisions relating to river-flow enhancement bonds,3706
LB976,Raikes,Indefinitely postponed,Change provisions relating to dissolution of unified school districts,3996
LB977,Raikes,Indefinitely postponed,Provide for freeholders' petitions relating to school districts which exceed certain levy limitations,3390
LB978,Gay,Indefinitely postponed,Change provisions relating to Class III school district boundary changes,3482
LB979,Karpisek,Indefinitely postponed,Change county building levy tax provisions,3490
LB980,Carlson,Indefinitely postponed,Change trust account provisions under the Nebraska Real Estate License Act,3990
LB981,Pirsch,Indefinitely postponed,Prohibit nepotism in state government,3635
LB982,Schimek,Indefinitely postponed,Appropriate funds to Wyuka Cemetery,3824
LB983,Cornett,Indefinitely postponed,Change an income tax credit for planned gifts,3545
LB983A,Cornett,Indefinitely postponed,Appropriations bill,5550
LB984,Cornett,Indefinitely postponed,"Eliminate resolution, public hearing, and publication requirements for annexation by cities of the first class",3866
LB985,Stuthman,Indefinitely postponed,Change provisions relating to tangible personal property tax returns,3467
LB986,Preister,Governor Veto,Adopt the Electronics Recycling Act,3979
LB986A,Preister,Governor Veto,Appropriations bill,4938
LB987,Raikes,Indefinitely postponed,Change provisions relating to the Quality Education Accountability Act,3932
LB988,Raikes,Passed,Change provisions relating to school funding,3835
LB988A,Raikes,Passed,Appropriations bill,4950
LB989,Friend,Indefinitely postponed,Change priority of special assessment liens in cities of the metropolitan class,3665
LB990,Christensen,Indefinitely postponed,Provide for a certificate of attendance for certain students as prescribed,3832
LB991,Avery,Indefinitely postponed,Provide for election day voter registration,3974
LB992,Avery,Indefinitely postponed,Provide duties to the state investment officer relating to Sudan-related investments,3392
LB993,McDonald,Passed,Change expenditure provisions relating to the Nebraska Liquor Control Commission Rule and Regulation Cash Fund,3946
LB994,Johnson,Indefinitely postponed,Extend termination date of the Behavioral Health Oversight Commission,3927
LB995,General Affairs Committee,Passed,Change provisions relating to cemeteries,3486
LB996,General Affairs Committee,Indefinitely postponed,Change provisions relating to bingo and lotteries,3546
LB997,McDonald,Indefinitely postponed,Change provisions relating to economic development programs of political subdivisions,3378
LB998,Gay,Indefinitely postponed,Appropriate funds to the Nebraska Innovation Zone Commission and provide for a transfer from the Cash Reserve Fund,3997
LB999,Hansen,Indefinitely postponed,Change Livestock Brand Act provisions governing recorded brands,3844
LB1000,Pirsch,Indefinitely postponed,Change income tax calculations and property tax relief funding and transfer cash reserve funds,3878
LB1001,White,Passed,Adopt the Low-Income Home Energy Conservation Act and change provisions relating to income tax withholding of independent contractors,3902
LB1001A,White,Passed,Appropriations bill,4817
LB1002,Pahls,Indefinitely postponed,Require disclosures by group health benefit plans,3597
LB1003,Pahls,Indefinitely postponed,Adopt the Saving the Cure Act and provide for an accredited laboratory,3544
LB1004,Cornett,Passed,Change an income tax withholding amount,3939
LB1005,Howard,Indefinitely postponed,Change provisions relating to learning community diversity plans,4023
LB1006,Aguilar,Indefinitely postponed,Provide for a registry and salary study of in-home personal services workers,3792
LB1007,Dierks,Indefinitely postponed,Change budget and tax levy limits,3869
LB1008,Wightman,Indefinitely postponed,Provide for reassumption of the tax assessment function by counties,3897
LB1009,Avery,Indefinitely postponed,Provide for a tax levy for school safety and security purposes,3328
LB1010,Hudkins,Indefinitely postponed,Change sales and use tax collection fees,4016
LB1011,Langemeier,Passed,Change the Real Property Appraiser Act,3926
LB1012,Gay,Indefinitely postponed,Allow an income tax credit for certain long-term care insurance policy premiums,4007
