Document,Primary Introducer,Status,Description,Document ID
LB17,White,Indefinitely postponed,Provide for a tuition waiver for combat-injured veterans,6669
LB18,Christensen,Withdrawn,Prohibit irrigation of certain educational lands,6268
LB19,Christensen,Indefinitely postponed,Change marriage license fee provisions and provide for marriage education,6019
LB20,Harms,Passed,Change provisions of the Access College Early Scholarship Program Act,6392
LB21,Harms,Indefinitely postponed,Rename and change provisions of the Nebraska Scholarship Act,6393
LB22,Friend,Indefinitely postponed,Change tax levy authority of educational service units and school districts,6177
LB23,Friend,Indefinitely postponed,Change membership provisions of the Nebraska Investment Council,6597
LB24,Friend,Passed,Change provisions relating to work done on radiological instruments by the Military Department,6386
LB25,Friend,Indefinitely postponed,Provide for licensure of and medicaid payments to children's day health services,6552
LB26,Friend,Indefinitely postponed,Change the priority of liens for special assessments,6442
LB27,Pahls,Passed,Change the Medical Assistance Act and the Autism Treatment Program Act,6497
LB27A,Pahls,Passed,Appropriations Bill,8377
LB28,Pahls,Passed,Authorize the issuance of undercover license plates and driver's licenses to federal law enforcement agencies,6233
LB29,Pahls,Passed,Change branch office management requirements under the Nebraska Real Estate License Act ,6250
LB30,Pahls,Passed,Change provisions of the Nebraska Real Estate License Act,6342
LB31,Pahls,Passed,Change Public Accountancy Act provisions,6299
LB32,Pahls,Passed,Change provisions relating to unauthorized use of the word bank,6085
LB33,Fulton,Indefinitely postponed,Change county zoning provisions with respect to density of population,6312
LB34,Ashford,Indefinitely postponed,Require employment verification of employees by employers and by contractors who want to be awarded a public contract,6261
LB35,Ashford,Passed,"Change legal process regarding limited liability companies, courts, civil and criminal procedure, grants, estates, real estate, adoption, foster care, juveniles, court appointed special advocates, and administrative hearings and change fees",6381
LB35A,Ashford,Passed,Appropriations Bill,8288
LB36,Flood,Passed,Change method and procedure for inflicting the death penalty,6356
LB37,Flood,Indefinitely postponed,Appropriate funds for a new division of the University of Nebraska Medical Center College of Nursing in Norfolk,6394
LB38,Flood,Indefinitely postponed,"Change assault, assault on an officer, and offenses by a confined person provisions",6100
LB39,Flood,Indefinitely postponed,Adopt new rules of evidence relating to sexual offenses,6388
LB40,Flood,Indefinitely postponed,Correct references to statutory provisions in civil procedure statutes,6684
LB41,Flood,Indefinitely postponed,Clarify references to the county sheriff,6683
LB42,Flood,Indefinitely postponed,Change provisions relating to rural water districts,6682
LB43,Flood,Indefinitely postponed,Eliminate the Department of Natural Resources Interstate Water Rights Cash Fund,6681
LB44,Flood,Indefinitely postponed,Correct a definition and eliminate obsolete statutory references in revenue provisions,6680
LB45,Flood,Indefinitely postponed,Eliminate references to a fund that terminated,6679
LB46,Wightman,Indefinitely postponed,Provide for costs and expenses of estate administration,6572
LB47,Wightman,Indefinitely postponed,Change the amount of the intestate share of the surviving spouse,6107
LB48,Fischer,Passed,Adopt updated federal motor carrier safety and hazardous material regulations,6149
LB49,Fischer,Passed,Require titling and registration of motor vehicles and motorboats be performed by county treasurers,6432
LB49A,Fischer,Passed,Appropriations Bill,7111
LB50,Fischer,Passed,Change provisions relating to motor vehicle manufacturers,6058
LB51,Fulton,Indefinitely postponed,Provide for confidentiality of Nebraska Workers' Compensation Court documents and information,6270
LB52,Fischer,Passed,Change employment qualifications relating to county veterans service offices,6377
LB53,Fischer,Passed,"Change provisions relating to formation, territory, and the operating area of public power districts",6481
LB54,Fischer,Passed,Change integrated management plan provisions under the Nebraska Ground Water Management and Protection Act,6165
LB55,Fischer,Passed,Change qualifications for office for county attorneys ,6580
LB56,Fischer,Passed,Change the Livestock Waste Management Act,6596
LB57,Louden,Indefinitely postponed,Exempt repairs and parts for agricultural machinery or equipment from sales and use taxes,6366
LB58,Louden,Indefinitely postponed,Exempt heating oil or propane used for residential heating purposes from sales and use taxes,6365
LB59,Louden,Indefinitely postponed,Increase liquor taxes and adopt the Citizen Safety Grant Fund Program Act,6363
LB60,Adams,Passed,Redefine abandoned vehicle,6503
LB61,Adams,Passed,Change certification dates for state aid to schools,6476
LB62,Adams,Passed,Change enrollment option program provisions,6490
LB63,Friend,Passed,"Change provisions and penalties relating to assault, firearms and other weapons, graffiti, gang affiliation, juveniles, bail, jailhouse informers, appeals, violence prevention, prisoner employment, and dating violence policies",6488
LB63A,Ashford,Passed,Appropriations Bill,7927
LB64,Howard,Indefinitely postponed,Adopt the Lindsay Ann Burke Act and provide duties for the State Department of Education and school districts with respect to dating violence,6315
LB65,Dubas,Indefinitely postponed,Exempt agricultural machinery repair parts from sales tax,6114
LB66,Rogert,Indefinitely postponed,Change limits on contributions and gifts under the Nebraska Political Accountability and Disclosure Act,6402
LB67,Friend,Indefinitely postponed,Adopt the Elementary and Secondary Education Opportunity Act,6307
LB68,Wallman,Indefinitely postponed,Provide procedures for closure of state residential facilities for persons with developmental disabilities,6398
LB69,Cornett,Indefinitely postponed,Exclude military retirement benefits from income taxation as prescribed,6359
LB70,Cornett,Indefinitely postponed,Exclude military retirement benefits from income taxation as prescribed,6519
LB71,Cornett,Indefinitely postponed,"Require animal care professionals to report cases of animal abandonment, cruel neglect, or cruel mistreatment",6360
LB72,Cornett,Indefinitely postponed,Provide for management of students' and children's life-threatening allergies,6361
LB72A,Cornett,Indefinitely postponed,Appropriations Bill,7858
LB73,Cornett,Indefinitely postponed,Ratify the Interstate Compact on Educational Opportunity for Military Children,6362
LB73A,Cornett,Indefinitely postponed,Appropriations Bill,7944
LB74,Pirsch,Passed,Authorize pledging of Federal Home Loan Bank of Topeka letters of credit as security for private deposits,6326
LB75,Pirsch,Passed,Change provisions relating to automatic teller machine usage and fees,6325
LB76,Pirsch,Indefinitely postponed,Authorize the aggregation of amounts under forgery in the second degree and criminal possession of a forged instrument,6469
LB77,Gay,Indefinitely postponed,Change provisions relating to income tax credits and long-term care insurance,6086
LB78,Gay,Indefinitely postponed,Provide for deposit of inmate wages into the Victim's Compensation Fund,6400
LB79,Pirsch,Indefinitely postponed,Change when a county attorney files a child support order modification complaint,6262
LB80,Nelson,Passed,Change the Uniform Principal and Income Act,6585
LB81,Nordquist,Indefinitely postponed,Change contribution provisions of the Nebraska State Patrol Retirement Act,6600
LB82,Howard,Indefinitely postponed,Require notification of change in a juvenile's case manager under the Nebraska Juvenile Code,6051
LB83,McGill,Indefinitely postponed,Provide for the care of domestic animals in protection orders,6378
LB84,McGill,Passed,Eliminate the termination date for the Women's Health Initiative Advisory Council,6168
LB85,McGill,Passed,Authorize urban growth districts and provide bond authority,6395
LB86,Wallman,Indefinitely postponed,Change the Capitol Landscape Restoration Master Plan,6522
LB87,Pahls,Passed,Change provisions relating to the effects of errors and omissions in financing statements,6323
LB88,Pahls,Indefinitely postponed,Change provisions relating to unauthorized use of the word bank,6324
LB89,Cornett,Passed,Change tax calculations under the Tobacco Products Tax Act,6087
LB90,Heidemann,Passed,Eliminate certain requirements regarding audiovisual court appearances,6531
LB91,Howard,Passed,Provide for a subsidized adoption of a child who was under a subsidized guardianship prior thereto,6097
LB92,Howard,Passed,Require vehicles to move over upon approaching stopped emergency and road assistance vehicles,6376
LB93,Howard,Indefinitely postponed,Prohibit smoking in a motor vehicle with an occupant under sixteen years of age,6513
LB94,Howard,Passed,Authorize late homestead exemption applications for medical reasons,6053
LB95,Howard,Indefinitely postponed,Prohibit violators of immigration laws from receiving certain tax incentives,6514
LB96,Heidemann,Indefinitely postponed,Eliminate obsolete provisions relating to the State Energy Office Cash Fund,6264
LB97,Lautenbaugh,Passed,"Change provisions relating to foreign corporations, child enticement, child sexual assault, child pornography, incest, sex offenders, use of technology, and providers of transportation services, and adopt and change evidence rules regarding sexual conduct and admissibility of evidence",6401
LB97A,Lautenbaugh,Passed,Appropriations Bill,8694
LB98,Carlson,Passed,Change noxious weed grant programs and the Riparian Vegetation Management Task Force,6184
LB98A,Carlson,Passed,Appropriations Bill,7917
LB99,Carlson,Passed,Adopt the Anthrax Control Act,6028
LB100,Carlson,Passed,Change Pesticide Act provisions,6061
LB101,Carlson,Passed,Eliminate the Farm Mediation Act termination date,6125
LB102,Adams,Passed,Provide a definition of high school graduate for postsecondary admission and financial aid purposes,6423
LB103,Adams,Indefinitely postponed,Change provisions relating to postsecondary educational institutions' capital and facility expenditures,6421
LB104,Cornett,Indefinitely postponed,Change annexation requirements for cities of the first class,5993
LB105,Natural Resources Committee,Passed,"Change provisions relating to fees, licenses, permits, funds, penalties, and damages under the Game Law and the State Boat Act",6186
LB105A,Langemeier,Passed,Appropriations Bill,7179
LB106,Harms,Indefinitely postponed,Eliminate the requirement that occupant protection system laws be enforced as a secondary action,6207
LB107,Haar,Indefinitely postponed,Require an employer to provide an employee a reason for termination,6518
LB108,Carlson,Indefinitely postponed,Exempt certain all-terrain vehicles from identification inspection requirements,6057
LB109,Rogert,Indefinitely postponed,Authorize the operation of low-speed vehicles on highways,6190
LB110,Fischer,Passed,Change motor vehicle registration fees and fee distribution and provide for specialty license plates,6641
LB110A,Fischer,Passed,Appropriations Bill,7445
LB111,Fischer,Passed,Change provisions relating to fines for speeding in a construction zone,6530
LB112,Heidemann,Indefinitely postponed,Exclude certain health education loan repayments from income taxation,6517
LB113,Pankonin,Passed,Change Securities Act of Nebraska provisions,6221
LB114,Louden,Indefinitely postponed,Provide for operation of minitrucks on highways without registration,6371
LB115,Louden,Indefinitely postponed,Eliminate the Nebraska Veterans Cemetery Advisory Board,6263
LB116,Fischer,Indefinitely postponed,Authorize certain volunteer emergency responders to participate in the state health insurance program ,6524
LB117,Fischer,Indefinitely postponed,Authorize an income tax credit for certain retail business taxpayers,6523
LB118,Wightman,Indefinitely postponed,Change decedents' estates provisions relating to collection of personal property by affidavit and succession to real property by affidavit,6574
LB119,Wightman,Indefinitely postponed,Change inheritance tax provisions,6764
LB120,Wightman,Passed,Change inheritance tax provisions,6573
LB121,Wightman,Passed,Provide for reassumption of property tax assessment functions by certain counties,6405
LB121A,Wightman,Passed,Appropriations Bill,8042
LB122,Coash,Passed,Change terminology for the central register of child protection cases,6098
LB123,Karpisek,Passed,Change the Uniform Controlled Substances Act to include Salvia divinorum or Salvinorin A ,6474
LB124,Hansen,Indefinitely postponed,Extend deadlines for transfers from the Job Training Cash Fund to the Cash Reserve Fund,6131
LB125,Avery,Indefinitely postponed,Provide for voter registration on election day,6073
LB126,Avery,Indefinitely postponed,Require financial disclosure statements from constitutional officers and candidates,6076
LB127,Avery,Indefinitely postponed,Exempt college textbooks and school expenses from sales tax as prescribed,6665
LB128,Avery,Indefinitely postponed,Authorize the investment of public endowment funds by any city which is authorized by the Constitution of Nebraska to establish a charter,6007
LB129,Dubas,Passed,Authorize actions and procedures for invalid financial transactions when registering a vehicle,6112
LB130,Dubas,Indefinitely postponed,Create the Farm to School Program Task Force,6175
LB131,Dubas,Passed,Change the boundary descriptions of Merrick and Polk counties,6349
LB132,Fulton,Indefinitely postponed,Change the Barber Act,6173
LB133,Heidemann,Passed,Change location requirements for county postprimary conventions,6027
LB134,Pankonin,Indefinitely postponed,Change natural resources districts eminent domain powers,6508
LB135,Heidemann,Passed,Change an appropriation to the Department of Health and Human Services,6711
LB136,Avery,Indefinitely postponed,Change provisions for eligibility for medical assistance,6071
LB136A,Avery,Indefinitely postponed,Appropriations Bill,8214
LB137,Avery,Passed,"Redefine the term ""campus"" for purposes of the Nebraska Liquor Control Act",6667
LB138,Avery,Indefinitely postponed,Provide an income tax credit for public school teachers,6070
LB139,Avery,Passed,Rename the Commission on Mexican-Americans,6074
LB140,Avery,Indefinitely postponed,Provide duties relating to investment of state funds in Sudan-related companies,6082
LB141,Rogert,Indefinitely postponed,Adopt the Brain Injury Act,6069
LB142,Hansen,Passed,Change recorded brand provisions and a fee,6792
LB143,Langemeier,Withdrawn,Adopt the Nebraska Shooting Range Protection Act,6446
LB144,Avery,Indefinitely postponed,Allow accessibility to certain disciplinary records regarding police officers and school district personnel,6081
LB145,Avery,Indefinitely postponed,"Prohibit firearms at schools, colleges, and universities as prescribed",6062
LB146,Howard,Indefinitely postponed,Provide for simulated pharmacies,6533
LB147,Pirsch,Passed,Provide name-change court orders to update the central register of child protection cases and the central registry of sex offenders,6005
LB148,Pirsch,Indefinitely postponed,Change penalties for motor vehicle homicide and motor vehicle homicide of an unborn child,6505
LB149,Pankonin,Indefinitely postponed,Require insurance coverage for prosthetics as prescribed,6485
LB150,Heidemann,Indefinitely postponed,Repeal the Nebraska Prostitution Intervention and Treatment Act,6094
LB151,Stuthman,Passed,Change exemptions relating to ephedrine-containing substances under the Uniform Controlled Substances Act,6321
LB152,Pahls,Passed,Change a provision relating to uninsured and underinsured motorist coverages,6191
LB153,Lautenbaugh,Indefinitely postponed,Adopt the Tourism Liability Act ,6115
LB154,"Government, Military and Veterans Affairs Committee",Passed,"Eliminate certain boards, commissions, committees, councils, task forces, working groups, and related statutory provisions",6445
LB155,Rogert,Passed,"Adopt the Public Protection Act, change provisions relating to theft, criminal impersonation, forgery, and bad and no-account checks, and create the offenses of identity theft and identity fraud and an additional deceptive trade practice",6351
LB156,Lautenbaugh,Indefinitely postponed,Eliminate the strict liability requirement for pursuits by law enforcement officers,6628
LB157,McCoy,Indefinitely postponed,Exempt state vehicles from carrying uninsured and underinsured motorist coverage,6257
LB158,White,Passed,"Change provisions relating to employment, removal, and discipline of peace officers",6696
LB159,Gay,Indefinitely postponed,Provide an income tax credit for long-term care insurance policy premiums,6205
LB159A,Gay,Indefinitely postponed,Appropriations Bill,8317
LB160,Gay,Passed,Authorize issuance of flood protection and water quality enhancement bonds by natural resources districts,6109
LB161,Pahls,Indefinitely postponed,Adopt the Business Provided Sales Tax Holiday Act,6093
LB162,Cornett,Passed,Change provisions relating to contractor registration and income tax withholding,6478
LB163,Pankonin,Passed,Change school board membership provisions,6240
LB164,Cornett,Passed,Change provisions relating to tax incentive programs,6227
LB165,Cornett,Passed,Change revenue laws,6229
LB166,Cornett,Passed,Change provisions relating to property tax,6228
LB167,Avery,Passed,Provide for discount program participation and electronic funds transfers for state employees,6253
LB168,Avery,Passed,Provide for reverse auctions by the state purchasing bureau,6418
LB169,Hadley,Indefinitely postponed,State intent relating to appropriations to the Department of Health and Human Services for the medical assistance program,6443
LB170,Wightman,Indefinitely postponed,Change temporary conservator appointment provisions,6576
LB171,Nantkes,Indefinitely postponed,Change a research tax credit,6559
LB172,Gay,Indefinitely postponed,Change the False Medicaid Claims Act and create a fund,6668
LB172A,Gay,Indefinitely postponed,Appropriations Bill,7801
LB173,Gay,Indefinitely postponed,Provide for relabeling and redispensing of prescription drugs at certain correctional facilities,6065
LB174,Lathrop,Indefinitely postponed,Change vehicle registration and fee provisions for cities of the metropolitan class,6543
LB175,Lathrop,Passed,Change provisions for replacing lost license plates ,6201
LB176,Lathrop,Indefinitely postponed,Prohibit use of credit information for insurance purposes and repeal the model act,6674
LB177,Lathrop,Passed,Change security freeze provisions relating to credit reports,6198
LB178,Lathrop,Indefinitely postponed,State intent relating to appropriations to the Department of Health and Human Services for developmental disability aid,6444
LB179,Natural Resources Committee,Passed,Change project limit adjustments under the Nebraska Resources Development Fund,6539
LB180,Natural Resources Committee,Passed,Change provisions relating to solid waste management,6231
LB181,Fischer,Passed,Provide requirements for agreements between railroads and telecommunications carriers,6734
LB182,Pankonin,Indefinitely postponed,Appropriate funds to the Department of Economic Development,6783
LB183,Fischer,Passed,Provide requirements for the sale of an exchange under the Nebraska Telecommunications Regulation Act,6779
LB184,Louden,Passed,Authorize Department of Natural Resources to administer riparian water rights,6540
LB185,Louden,Indefinitely postponed,Change provisions relating to presentence investigations,6367
LB186,Karpisek,Indefinitely postponed,Change sales and use tax collection fees,6642
LB187,Nebraska Retirement Systems Committee,Passed,Change contribution rates for school employee retirement plans,6762
LB188,Nebraska Retirement Systems Committee,Passed,Change provisions relating to retirement programs for county  and state employees and the Nebraska State Patrol,6532
LB189,Pankonin,Passed,Change terminology relating to problem gambling services,6380
LB190,Avery,Passed,Provide for collection of DNA samples from individuals convicted of a felony and released on probation,6108
LB191,Fulton,Indefinitely postponed,Provide for the waiver of a fine or penalty for an information collection requirement for small businesses,6800
LB192,Pahls,Passed,Change insurance provisions,6429
LB193,Nantkes,Indefinitely postponed,Change a restriction on use of cigarette tax proceeds for bonds,6473
LB194,Nantkes,Indefinitely postponed,Change workers' compensation provisions on lump-sum settlements,6511
LB195,Gay,Passed,"Change provisions relating to barbering, pharmacy, physician assistants, certificates of need, hearing instrument specialists, emergency medical services, tuberculosis detection and prevention, and statewide trauma services",6277
LB196,Gay,Passed,Change loan agreement provisions under the Rural Health Systems and Professional Incentive Act,6204
LB197,Fulton,Passed,Change provisions relating to the Nebraska educational savings plan,6617
LB198,Stuthman,Passed,Adopt the Reduced Cigarette Ignition Propensity Act,6203
LB198A,Stuthman,Passed,Appropriations Bill,8603
LB199,Stuthman,Indefinitely postponed,Change provisions relating to court support orders and collection of such support,6337
LB200,Janssen,Indefinitely postponed,Change motorcycle and moped helmet requirements,6840
LB201,McGill,Passed,Change the Uniform Child Custody Jurisdiction and Enforcement Act relating to international application,6757
LB202,Transportation and Telecommunications Committee,Passed,Provide for electronic certificates of title and lien notification,6510
LB202A,Fischer,Passed,Appropriations Bill,7478
LB203,Rogert,Indefinitely postponed,Eliminate provisions relating to multiple constables and the service or execution of legal process,6610
LB204,Transportation and Telecommunications Committee,Passed,Change certain commercial motor vehicle penalty provisions,6613
LB205,Nordquist,Indefinitely postponed,Require educational and ethics  training for board members of certain retirement systems,6587
LB206,Nantkes,Passed,Adopt the In the Line of Duty Dependent Education Act,6712
LB207,Avery,Passed,Change provisions governing the Governor's residence and powers of the Department of Administrative Services and the Director of Administrative Services,6252
LB208,Lautenbaugh,Passed,Add false information about employees to the crime of fraudulent insurance act and to the Insurance Fraud Act,6271
LB209,Langemeier,Passed,Change provisions relating to time for construction of irrigation projects and dams,6482
LB210,Langemeier,Passed,Change provisions relating to aid to natural resources districts,6483
LB211,Pirsch,Indefinitely postponed,Provide for issuance of certain license plates to spouses of veterans,6340
LB212,Cornett,Indefinitely postponed,Authorize single commissioner hearings before the Tax Equalization and Review Commission,6645
LB213,Cornett,Indefinitely postponed,Change Tax Equalization and Review Commission provisions,6646
LB214,Cornett,Indefinitely postponed,Redefine nail technology under the Uniform Credentialing Act,6662
LB215,Fischer,Indefinitely postponed,Create the School Finance Review Committee,6635
LB216,Wallman,Passed,Eliminate civil liability provisions relating to motor vehicle and aircraft guest statutes,6692
LB217,Louden,Indefinitely postponed,Provide requirements for electrical entities placing wires across railroad rights-of-way,6834
LB218,Cornett,Passed,"Change, eliminate, and provide state aid to various political subdivisions",6777
LB218A,Cornett,Indefinitely postponed,Appropriations Bill,8326
LB219,Flood,Passed,Transfer responsibility of the highway safety program to the Department of Roads from the Department of Motor Vehicles,6139
LB219A,Flood,Passed,Appropriations Bill,7349
LB220,Gloor,Indefinitely postponed,Change provisions relating to pharmacy practice and pharmaceuticals,6649
LB221,Nordquist,Indefinitely postponed,Change provisions relating to payment of school funds,6744
LB222,Giese,Indefinitely postponed,Restrict issuance of learner's permits,6832
LB223,Nantkes,Indefinitely postponed,Classify swimming pools and provide operator requirements,6561
LB224,Carlson,Passed,Change Nebraska State Fair and Nebraska State Fair Board provisions,6721
LB225,Haar,Indefinitely postponed,Provide for volunteer firefighter license plates,6806
LB226,Rogert,Passed,Authorize medical consent and contracting authority for certain persons eighteen years of age,6244
LB227,Rogert,Indefinitely postponed,Adopt the Interior Designers Certification Act,6246
LB228,Rogert,Indefinitely postponed,Prohibit school membership in certain activity-regulating organizations,6859
LB229,Fischer,Indefinitely postponed,Adopt federal regulations and change operator's license and state identification card provisions,6348
LB230,Stuthman,Indefinitely postponed,Eliminate integrated practice agreements for nurse practitioners,6778
LB231,Avery,Passed,Change Rural Development Commission membership provisions,6193
LB232,Nordquist,Passed,Permit sales of alcoholic liquor by community college culinary programs,6862
LB233,Adams,Indefinitely postponed,Exempt mineral oil to be applied to grain as a dust suppressant from sales and use taxes,6301
LB234,Adams,Indefinitely postponed,Change a sales and use tax exemption relating to fuel and energy,6300
LB235,Adams,Passed,Provide the Board of Educational Lands and Funds with powers relating to solar energy and wind energy leases,6310
LB236,Lathrop,Indefinitely postponed,Appropriate funds to the Department of Health and Human Services,6739
LB237,Lathrop,Passed,Adopt the Interstate Compact for Juveniles and the Interstate Compact for the Placement of Children,6238
LB237A,Lathrop,Passed,Appropriations Bill,8452
LB238,Lathrop,Passed,Adopt the Public Power Infrastructure Protection Act and change penalty provisions regarding trespass,6341
LB239,Lathrop,Indefinitely postponed,Provide a homestead property tax exemption for certain disabled veterans,6709
LB240,Pahls,Indefinitely postponed,Require a minimum level of expenditures for direct classroom instruction,6787
LB241,Pahls,Passed,Change the Commercial Dog and Cat Operator Inspection Act and adopt the Dog and Cat Purchase Protection Act,6354
LB242,Karpisek,Indefinitely postponed,Increase the mandatory retirement age under the Nebraska State Patrol Retirement Act,6475
LB243,Nantkes,Indefinitely postponed,Provide for annual adjustment for workers' compensation total disability income benefits,6839
LB244,Coash,Indefinitely postponed,Add Tramadol and Carisoprodol  to schedules of controlled substances,6335
LB245,Dubas,Indefinitely postponed,Change provisions governing unlawful obstruction of railroad crossings,6314
LB246,Dubas,Passed,Provide for a statewide strategic plan for biotechnology and repeal the  Biopower Steering Committee ,6570
LB246A,Dubas,Passed,Appropriations Bill,8634
LB247,Dubas,Indefinitely postponed,Require accreditation of the Division of Children and Family Services of the Department of Health and Human Services,6396
LB248,Dubas,Indefinitely postponed,Change income tax credit provisions,6643
LB249,Fulton,Indefinitely postponed,Change sales tax collection fees,6640
LB250,Gloor,Indefinitely postponed,Change physician assistant provisions,6689
LB251,Cornett,Passed,Update references to the Internal Revenue Code,6843
LB252,Cornett,Passed,Prohibit possession of animal fighting paraphernalia ,6849
LB253,Ashford,Indefinitely postponed,"Adopt a new Nebraska Juvenile Code and change child abuse reporting and registry, child relinquishment, and Foster Care Review Act provisions",6648
LB254,Dubas,Passed,Require a Nebraska aerial pesticide business license for aerial pesticide application,6629
LB255,Harms,Indefinitely postponed,Require lap-shoulder belts in school buses,6498
LB256,Harms,Indefinitely postponed,Appropriate funds to the Game and Parks Commission ,6856
LB257,Harms,Indefinitely postponed,Eliminate the Seamless Delivery System Pilot Project,6710
LB258,Harms,Passed,Change and provide penalties for minors in possession of alcoholic liquor,6504
LB259,Utter,Passed,Clarify Federal Deposit Insurance Corporation coverage with respect to public funds,6813
LB260,Rogert,Passed,Adopt the Nebraska Claims for Wrongful Conviction and Imprisonment Act ,6861
LB261,Rogert,Passed,Provide for use of machine-readable information encoded on drivers' licenses and state identification cards,6544
LB262,Rogert,Indefinitely postponed,Change times relating to alcoholic liquor sales and lottery sales as prescribed ,6846
LB263,Rogert,Passed,Provide that state law preempts local law for the Nebraska Seed Law and the Nebraska Commercial Fertilizer and Soil Conditioner Act ,6842
LB264,Fischer,Indefinitely postponed,Change motor fuel tax calculations,6727
LB265,Giese,Indefinitely postponed,Change the Sexual Predator Residency Restriction Act,6458
LB266,Karpisek,Indefinitely postponed,Adopt the Racetrack Gaming Act and change provisions relating to horseracing,6437
LB267,Lathrop,Indefinitely postponed,Prohibit mandatory overtime for state employees providing services to individuals in residential care,6634
LB268,Lathrop,Indefinitely postponed,Require liability insurance as prescribed for child care licensees,6844
LB269,Heidemann,Indefinitely postponed,"Change Nebraska Tobacco Settlement Trust Fund, Nebraska Health Care Cash Fund, and Stem Cell Research Cash Fund provisions",6784
LB270,Haar,Indefinitely postponed,Create a homestead property tax exemption,6831
LB271,Haar,Indefinitely postponed,Adopt the Car Tax Reduction Act,6835
LB272,Friend,Indefinitely postponed,Redefine underground facility for purposes of the one-call notification system,6700
LB273,Ashford,Indefinitely postponed,Change sheriff's fees and handgun certificate fees,6029
LB274,Christensen,Passed,Authorize the Director of Correctional Services to assign felony offenders to an incarceration work camp as prescribed,6162
LB275,McGill,Indefinitely postponed,"Require crisis, information, and referral services relating to behavioral health",6837
LB276,Nordquist,Indefinitely postponed,Change criminal mischief provisions and prohibit defacement,6567
LB277,Mello,Indefinitely postponed,Prohibit the purchase of spray paint and industrial-strength marking pens by minors,6826
LB278,Mello,Passed,Permit municipalities to allow pedestrians to solicit in roadways,6821
LB279,Avery,Passed,Require notification to military installations regarding development of real property,6767
LB280,Avery,Indefinitely postponed,Create the Commission on Military Affairs,6786
LB280A,Avery,Indefinitely postponed,Appropriations Bill,8162
LB281,Mello,Indefinitely postponed,Change educational service unit board membership provisions,6010
LB282,Mello,Indefinitely postponed,Adopt the Nebraska Advantage Film Production Incentive Act ,6434
LB283,Cornett,Indefinitely postponed,Change community college aid calculations,6389
LB284,Fulton,Indefinitely postponed,Authorize employment restrictions for sexual predators,6431
LB285,Pirsch,Passed,Change Sex Offender Registration Act provisions,6623
LB286,General Affairs Committee,Passed,Change definite profit amounts relating to bingo and pickle cards and change distribution of lottery funds,6338
